school_name,school_type,grades_served,email,address,city,state,zip_code,longitude,Latitude,phone,website
"Elizondo, Raul P ES",Public,Pre-K - 5,STACECM@NV.CCSD.NET,4865 Goldfield St,N  Las Vegas,NV,89031,36.247888,-115.140415,(702)799-1730,http://www.elizondobulldogs.org
"Cortez, Manuel J ES",Public,Pre-K - 5,CLEGGLB@nv.ccsd.net,4245 E Tonopah Ave,Las Vegas,NV,89115,36.191283,-115.081592,(702)799-2180,
"Lamping, Frank ES",Public,Pre-K - 5,yutucje@nv.ccsd.net,2551 Summit Grove Dr,Henderson,NV,89052,35.986546,-115.097462,(702)799-1330,www.lampingelementary.com 
"Garehime, Edith ES",Public,Pre-K - 5,SWANSLS@NV.CCSD.NET,3850 Campbell Rd,Las Vegas,NV,89129,36.229438,-115.292743,(702)799-6000,
"Hayes, Keith C & Karen W ES",Public,Pre-K - 5,PACKELK@NV.CCSD.NET,9620 W Twain Ave,Las Vegas,NV,89147,36.123225,-115.303055,(702)799-6030,
"Kesterson, Lorna J ES",Public,Pre-K - 5,WRIGHKL@NV.CCSD.NET,231 Bailey Island Dr,Henderson,NV,89074,36.044976,-115.036497,(702)799-6300,
"Neal, Joseph M ES",Public,Pre-K - 5,MCLAUTL@NV.CCSD.NET,6651 W Azure Drive,Las Vegas,NV,89130,36.272566,-115.239507,(702)799-2200,
"Carl, Kay ES",Public,Pre-K - 5,SIMMOTR@NV.CCSD.NET,5625 Corbett St,Las Vegas,NV,89130,36.266677,-115.217338,(702)799-6650,
"Darnell, Marshall C ES",Public,Pre-K - 5,MORRIKA@NV.CCSD.NET,9480 W Tropical Pkwy,Las Vegas,NV,89149,36.270885,-115.302975,(702)799-6630,
"Heckethorn, Howard E ES",Public,Pre-K - 5,HOULEMN@NV.CCSD.NET,5150 Whispering Sands Dr,Las Vegas,NV,89131,36.303068,-115.213426,(702)799-6690,
"Rogers, Lucille S ES",Public,Pre-K - 5,hambyjl@nv.ccsd.net,5535 S Riley St,Las Vegas,NV,89148,36.088278,-115.285222,(702)799-6870,
"Snyder, William E ES",Public,Pre-K - 5,HAYNAJ@NV.CCSD.NET,4317 E Colorado Ave,Las Vegas,NV,89104,36.154372,-115.080887,(702)799-3750,
"Twitchell, Neil C ES",Public,Pre-K - 5,tylerma@nv.ccsd.net,2060 Desert Shadow Trail,Henderson,NV,89012,36.023419,-115.078258,(702)799-6860,
"Watson, Fredric W ES",Public,Pre-K - 5,NIELSSC@NV.CCSD.NET,5845 N Commerce St,N  Las Vegas,NV,89031,36.265451,-115.144138,(702)799-7040,
"Alamo, Tony ES",Public,Pre-K - 5,LINDBTA@NV.CCSD.NET,7455 El Camino Rd,Las Vegas,NV,89139,36.05327,-115.231735,(702)799-2590,
"Brookman, Eileen B ES",Public,Pre-K - 5,HALLDS@NV.CCSD.NET,6225 E Washington Ave,Las Vegas,NV,89110,36.180301,-115.036261,(702)799-7250,
"Cozine, Steve and Linda ES",Public,Pre-K - 5,NOTCHJL@NV.CCSD.NET,5335 Coleman Street,N  Las Vegas,NV,89031,36.256707,-115.176971,(702)799-0690,http://www.cozineclimbers.com
"Gehring, Roger D Acad of Science & Technology ES",Public,Pre-K - 5,ROBINSM3@NV.CCSD.NET,1155 E Richmar Ave,Las Vegas,NV,89123,36.015911,-115.137499,(702)799-6899,
"Iverson, Mervin ES",Public,Pre-K - 5,SABOKE@NV.CCSD.NET,1575 S Hollywood Blvd,Las Vegas,NV,89142,36.154831,-115.027302,(702)799-7260,
"Walker, J Marlan Int'l School ES",Public,Pre-K - 5,NEWMASR@NV.CCSD.NET,850 Scholar St,Henderson,NV,89002,35.995676,-114.959623,(702)799-0570,
"Conners, Eileen ES",Public,Pre-K - 5,MARENKT@NV.CCSD.NET,3810 Shadow Peak Dr,Las Vegas,NV,89129,36.230387,-115.320306,(702)799-1402,
"Givens, Linda Rankin ES",Public,Pre-K - 5,HUNGEDR@NV.CCSD.NET,655 Park Vista Dr,Las Vegas,NV,89138,36.167399,-115.344184,(702)799-1430,
"Goolsby, Judy & John L ES",Public,Pre-K - 5,HAWLEHM@NV.CCSD.NET,11175 W Desert Inn Rd,Las Vegas,NV,89135,36.127927,-115.337013,(702)799-2520,
"Hummel, John R ES",Public,Pre-K - 5,BRYANNM@NV.CCSD.NET,9800 Placid St,Las Vegas,NV,89183,36.011171,-115.158144,(702)799-6810,
"Scherkenbach, William & Mary ES",Public,Pre-K - 5,CONLEKM@NV.CCSD.NET,9371 Iron Mountain Rd,Las Vegas,NV,89143,36.321296,-115.28174,(702)799-3401,
"Simmons, Eva G ES",Public,Pre-K - 5,KROLKS@NV.CCSD.NET,2328 Silver Clouds Dr,N  Las Vegas,NV,89031,36.268424,-115.174794,(702)799-1891,
"Tanaka, Wayne N ES",Public,Pre-K - 5,catanpa@nv.ccsd.net,9135 W Maule Ave,Las Vegas,NV,89148,36.061817,-115.29142,(702)799-2504,
"Tartan, John ES",Public,Pre-K - 5,JEFFEAK@NV.CCSD.NET,3030 E Tropical Pkwy,N  Las Vegas,NV,89081,36.269998,-115.105929,(702)799-4701,
"Thiriot, Joseph E ES",Public,Pre-K - 5,tinkesn@NV.CCSD.NET,5700 W Harmon Ave,Las Vegas,NV,89103,36.108934,-115.220466,(702)799-2550,
"Batterman, Kathy L ES",Public,Pre-K - 5,SPARRCJ@NV.CCSD.NET,10135 W Quail Ave,Las Vegas,NV,89148,36.082833,-115.312124,(702)799-1920,
"Ries, Aldeane Comito ES",Public,Pre-K - 5,QUINOAM@NV.CCSD.NET,9805 S Lindell Rd,Las Vegas,NV,89141,36.01185,-115.218098,(702)799-1240,
"Hickey, Liliam Lujan ES",Public,Pre-K - 5,BARRAKR@NV.CCSD.NET,2450 N Hollywood Blvd,Las Vegas,NV,89156,36.202595,-115.058047,(702)799-1899,
"Jeffers, Jay W ES",Public,Pre-K - 5,LENZHJ@NV.CCSD.NET,2320 Clifford St,Las Vegas,NV,89115,36.201896,-115.09498,(702)799-2100,
"Goynes, Theron H & Naomi D ES",Public,Pre-K - 5,prineja@nv.ccsd.net,3409 Deer Springs Way,N  Las Vegas,NV,89084,36.281354,-115.184727,(702)799-1770,
"Thompson, Sandra L ES",Public,Pre-K - 5,SNYDEJM1@NV.CCSD.NET,7351 N Campbell Road,Las Vegas,NV,89149,36.294889,-115.293682,(702)799-3430,
"Hayden, Don E ES",Public,Pre-K - 5,BROOKTL@NV.CCSD.NET,150 W Rome Blvd,N  Las Vegas,NV,89084,36.2813,-115.141177,(702)799-3870,
"Wright, William V ES",Public,Pre-K - 5,FUNDAKA@NV.CCSD.NET,8425 Bob Fisk Avenue,Las Vegas,NV,89178,36.013766,-115.27497,(702)799-5701,
"Ronzone, Bertha ES",Public,Pre-K - 5,SHAFFHE@NV.CCSD.NET,5701 Stacey Ave,Las Vegas,NV,89108,36.196783,-115.218816,(702)799-4780,
"Hoggard, Mabel ES",Public,Pre-K - 5,GIANNMS@NV.CCSD.NET,950 N Tonopah Dr,Las Vegas,NV,89106,36.18231,-115.169061,(702)799-4740,http://www.mabelhoggard.net 
"Ronnow, C C ES",Public,Pre-K - 5,CRAWFMQ@NV.CCSD.NET,1100 Lena St,Las Vegas,NV,89101,36.183413,-115.100509,(702)799-7159,
"Squires, C P ES",Public,Pre-K - 5,milletr@nv.ccsd.net,1312 E Tonopah Ave,N  Las Vegas,NV,89030,36.192713,-115.123088,(702)799-7169,
Crestwood ES,Public,Pre-K - 5,KIPKL@NV.CCSD.NET,1300 Pauline Way,Las Vegas,NV,89104,36.155717,-115.127568,(702)799-7890,
"Gilbert, CVT ES",Public,Pre-K - 5,FALTID@NV.CCSD.NET,2101 W Cartier Ave,N  Las Vegas,NV,89032,36.20573,-115.171365,(702)799-4730,
"Hancock, Doris ES",Public,Pre-K - 5,LUCERFV@NV.CCSD.NET,1750 Lindell Rd,Las Vegas,NV,89146,36.152222,-115.216923,(702)799-4205,
"Griffith, E W ES",Public,Pre-K - 5,ANDRELJ1@NV.CCSD.NET,324 Essex Dr,Las Vegas,NV,89107,36.169066,-115.199793,(702)799-4200,
"Herron, Fay ES",Public,Pre-K - 5,WHEATMA@NV.CCSD.NET,2421 N Kenneth,N  Las Vegas,NV,89030,36.203368,-115.101507,(702)799-7123,
"Hewetson, Halle ES",Public,Pre-K - 5,bojorc@NV.CCSD.NET,701 N 20th St,Las Vegas,NV,89101,36.176212,-115.122533,(702)799-7896,
"Booker, Kermit R Sr ES",Public,Pre-K - 5,SKYLECT@nv.ccsd.net,2277 N MLK Blvd,Las Vegas,NV,89106,36.200309,-115.161995,(702)799-4720,
"Earl, Ira J ES",Public,Pre-K - 5,CABUHFM@NV.CCSD.NET,4620 E. Monroe Ave.,Las Vegas,NV,89110,36.185541,-115.07254,(702)799-7310,
"Manch, J E ES",Public,Pre-K - 5,DANOWBJ@NV.CCSD.NET,4351 Lamont St,Las Vegas,NV,89115,36.239223,-115.067863,(702)799-4900,
"Ullom, J M ES",Public,Pre-K - 5,TEJERA@NV.CCSD.NET,4869 E Sun Valley Dr,Las Vegas,NV,89121,36.104878,-115.067071,(702)799-7780,
"Park, John S ES",Public,Pre-K - 5,BENIZJL@NV.CCSD.NET,931 Franklin Ave,Las Vegas,NV,89104,36.154759,-115.141527,(702)799-7904,
"Mackey, Jo ES",Public,Pre-K - 5,MATTHM@NV.CCSD.NET,2726 Englestad,N  Las Vegas,NV,89030,36.209242,-115.146702,(702)799-7139,
"McWilliams, J T ES",Public,Pre-K - 5,BRUEGAM@NV.CCSD.NET,1315 Hiawatha Rd,Las Vegas,NV,89108,36.185116,-115.210932,(702)799-4770,
"Toland, Helen Anderson Intl Academy",Public,Pre-K - 5,SNIPEAM@NV.CCSD.NET,1735 D St,Las Vegas,NV,89106,36.192943,-115.146719,(702)799-7113,
"Dearing, Laura ES",Public,Pre-K - 5,YOUNGDK@NV.CCSD.NET,3046 Ferndale St.,Las Vegas,NV,89121,36.134615,-115.078847,(702)799-7710,
"Rowe, Lewis E ES",Public,Pre-K - 5,schabj@nv.ccsd.net,4338 S Bruce St,Las Vegas,NV,89119,36.110346,-115.125379,(702)799-5540,
Lincoln ES,Public,Pre-K - 5,BLACKJL@NV.CCSD.NET,3010 Berg St,N  Las Vegas,NV,89030,36.215647,-115.112123,(702)799-7133,
"Craig, Lois ES",Public,Pre-K - 5,WYETTJL@NV.CCSD.NET,2637 E Gowan Rd,N  Las Vegas,NV,89030,36.224249,-115.113817,(702)799-4910,
"Williams, Wendell ES",Public,Pre-K - 5,WILLEKL@NV.CCSD.NET,1030 J St,Las Vegas,NV,89106,36.182437,-115.155105,(702)799-4760,http://www.wendellwilliams.net
"Cahlan, Marion ES",Public,Pre-K - 5,RAVARM@NV.CCSD.NET,2801 Ft Sumter Dr,N  Las Vegas,NV,89030,36.211085,-115.126275,(702)799-7103,
"Kelly, Matt ES",Public,Pre-K - 5,WILLIJD1@NV.CCSD.NET,1900 J St,Las Vegas,NV,89106,36.194534,-115.155594,(702)799-4750,
Mountain View ES,Public,Pre-K - 5,HARGEC@NV.CCSD.NET,1810 Shaner Ln,Las Vegas,NV,89156,36.193332,-115.054787,(702)799-7350,
"Taylor, Glen C ES",Public,Pre-K - 5,SPEAKTL@NV.CCSD.NET,2655 Siena Heights Dr,Henderson,NV,89052,36.010314,-115.104689,(702)799-6892,
"Adcock, O K ES",Public,Pre-K - 5,DEMILWB@NV.CCSD.NET,6350 Hyde Ave,Las Vegas,NV,89107,36.17214,-115.235929,(702)799-4185,
Paradise Prof Dev ES,Public,Pre-K - 5,JOHNSPC@NV.CCSD.NET,900 Cottage Grove Ave,Las Vegas,NV,89119,36.11174,-115.144985,(702)799-5660,
"Culley, Paul E ES",Public,Pre-K - 5,STAYMEM@NV.CCSD.NET,1200 N Mallard,Las Vegas,NV,89108,36.183653,-115.221982,(702)799-4800,
"McCall, Quannah ES",Public,Pre-K - 5,LUSHAK@NV.CCSD.NET,800 E Carey Ave,N  Las Vegas,NV,89030,36.203733,-115.130694,(702)799-7149,
Red Rock ES,Public,Pre-K - 5,READYC@NV.CCSD.NET,408 Upland Blvd,Las Vegas,NV,89107,36.167304,-115.216912,(702)799-4223,
"Bell, Rex ES",Public,Pre-K - 5,AIMETJA@NV.CCSD.NET,2900 Wilmington Way,Las Vegas,NV,89102,36.140889,-115.181372,(702)799-5910,
"Lake, Robert E ES",Public,Pre-K - 5,MAUROPE@NV.CCSD.NET,2904 Meteoro St,Las Vegas,NV,89169,36.138901,-115.12871,(702)799-5530,
"Warren, Rose ES",Public,Pre-K - 5,EISENHA@NV.CCSD.NET,6451 Brandywine Way,Las Vegas,NV,89107,36.164358,-115.233954,(702)799-4233,
"Thomas, Ruby S ES",Public,Pre-K - 5,STOSEM@NV.CCSD.NET,1560 E Cherokee Ln,Las Vegas,NV,89169,36.124672,-115.131445,(702)799-5550,
Sunrise Acres ES,Public,Pre-K - 5,MIDYENI@NV.CCSD.NET,211 28th Street,Las Vegas,NV,89101,36.164551,-115.112898,(702)799-7912,
"Williams, Tom ES",Public,Pre-K - 5,REASBCA@NV.CCSD.NET,3000 E Tonopah Ave,N  Las Vegas,NV,89030,36.193727,-115.105971,(702)799-7179,
Twin Lakes ES,Public,Pre-K - 5,RANKIKA@NV.CCSD.NET,1205 Silver Lake Drive,Las Vegas,NV,89108,36.184086,-115.186173,(702)799-4790,
"Pittman, Vail ES",Public,Pre-K - 5,JUNIELR@NV.CCSD.NET,6333 Fargo Ave,Las Vegas,NV,89107,36.179207,-115.231035,(702)799-4213,
Vegas Verdes ES,Public,Pre-K - 5,TURNELR@NV.CCSD.NET,4000 El Parque Ave,Las Vegas,NV,89102,36.150108,-115.195395,(702)799-5960,
"Bracken, Walter ES",Public,Pre-K - 5,sretes@nv.ccsd.net,2712 Searles Ave.,Las Vegas,NV,89101,36.18464,-115.112563,(702)799-7095,
"Wasden, Howard ES",Public,Pre-K - 5,WOODACN@NV.CCSD.NET,2831 Palomino Ln,Las Vegas,NV,89107,36.161341,-115.180016,(702)799-4239,
"Beckley, Will ES",Public,Pre-K - 5,BROWNSC@NV.CCSD.NET,3223 S Glenhurst,Las Vegas,NV,89121,36.131066,-115.10024,(702)799-7700,
"McCaw, Gordon ES",Public,Pre-K - 5,FURMAJM@NV.CCSD.NET,330 Tin Street,Henderson,NV,89015,36.027553,-114.981944,(702)799-8930,
"Mitchell, Andrew ES",Public,Pre-K - 2,ECHEVTD@NV.CCSD.NET,900 Ave B,Boulder City,NV,89005,35.969338,-114.837916,(702)799-8280,
"Sewell, C T ES",Public,Pre-K - 5,HENDEHM@NV.CCSD.NET,700 E Lake Mead Dr,Henderson,NV,89015,36.049457,-114.969899,(702)799-8940,
Indian Springs ES,Public,Pre-K - 5,WELCHCJ@NV.CCSD.NET,400 Sky Rd,Indian Springs,NV,89018,36.574112,-115.67686,(702)799-0932,
"Priest, Richard C ES",Public,Pre-K - 5,HAYSP@NV.CCSD.NET,4150 Fuselier Dr,N  Las Vegas,NV,89032,36.234939,-115.17664,(702)799-6200,
"Taylor, Robert L ES",Public,Pre-K - 5,BASHAKS@NV.CCSD.NET,144 Westminster Way,Henderson,NV,89015,36.036508,-114.970939,(702)799-8950,
Virgin Valley ES,Public,Pre-K - 5,BENNEMP@NV.CCSD.NET,200 Woodbury Ln,Mesquite,NV,89027,36.806691,-114.077238,(702)346-5761,
Whitney ES,Public,Pre-K - 5,GRAYAL@NV.CCSD.NET,5005 Keenan Ave,Las Vegas,NV,89122,36.099529,-115.045624,(702)799-7790,
"Ferron, William E ES",Public,Pre-K - 5,PUTNAMK@NV.CCSD.NET,4225 El Oro Street,Las Vegas,NV,89121,36.112937,-115.071692,(702)799-7720,
"Ward, Gene ES",Public,Pre-K - 5,WINIEGS@NV.CCSD.NET,1555 E Hacienda Ave,Las Vegas,NV,89119,36.093744,-115.131082,(702)799-5650,
"Wengert, Cyril ES",Public,Pre-K - 5,SWOBOKM@NV.CCSD.NET,1905 Atlantic St.,Las Vegas,NV,89104,36.148785,-115.114228,(702)799-8600,
"Tate, Myrtle ES",Public,Pre-K - 5,POPEKS@NV.CCSD.NET,4150 East Carey Ave,Las Vegas,NV,89115,36.203911,-115.08325,(702)799-7360,
"Harmon, Harley ES",Public,Pre-K - 5,CASILM@NV.CCSD.NET,4820 E. MESA VISTA AVENUE,Las Vegas,NV,89120,36.091957,-115.068034,(702)799-7740,
"Harris, George E ES",Public,Pre-K - 5,SYPULA@NV.CCSD.NET,3850 E. Twain Ave,Las Vegas,NV,89121,36.122596,-115.091281,(702)799-7750,
"Diskin, P A ES",Public,Pre-K - 5,BALLARR@NV.CCSD.NET,4220 S Ravenwood,Las Vegas,NV,89147,36.112235,-115.247952,(702)799-5930,
"Smith, Helen M ES",Public,Pre-K - 5,myersjl@nv.ccsd.net,4101 W. Bonanza Rd.,Las Vegas,NV,89107,36.176859,-115.195805,(702)799-4300,
"Tomiyasu, Bill Y ES",Public,Pre-K - 5,WIEDEHD@NV.CCSD.NET,5445 S Annie Oakley Dr,Las Vegas,NV,89120,36.090409,-115.087607,(702)799-7770,
"Dondero, Harvey N ES",Public,Pre-K - 5,CASTITL1@NV.CCSD.NET,4450 S Ridgeville St,Las Vegas,NV,89103,36.107994,-115.228711,(702)799-5940,
"Edwards, Elbert ES",Public,Pre-K - 5,LIVELS@NV.CCSD.NET,4551 Diamond Head,Las Vegas,NV,89110,36.171032,-115.07523,(702)799-7320,
"French, Doris ES",Public,Pre-K - 5,VILLATR@NV.CCSD.NET,3235 E Hacienda,Las Vegas,NV,89120,36.092796,-115.104574,(702)799-7730,
"Decker, C H ES",Public,Pre-K - 5,MCCUDJJ@NV.CCSD.NET,3850 S Redwood,Las Vegas,NV,89103,36.118936,-115.237738,(702)799-5920,
"Long, Walter V ES",Public,Pre-K - 5,paintra@nv.ccsd.net,2000 S Walnut Rd,Las Vegas,NV,89104,36.150501,-115.088582,(702)799-7456,
"Bilbray, James ES",Public,Pre-K - 5,ALTFAVM@NV.CCSD.NET,9370 Brent Ln,Las Vegas,NV,89143,36.318675,-115.3004,(702)799-4646,
"Frias, Charles & Phyllis ES",Public,Pre-K - 5,ANDERJN@NV.CCSD.NET,5800 Broken Top Ave,Las Vegas,NV,89141,35.989295,-115.221696,(702)799-2298,
"Hollingsworth, Howard ES",Public,Pre-K - 5,SADIESB@NV.CCSD.NET,1776 East Ogden Ave,Las Vegas,NV,89101,36.164009,-115.124463,(702)799-1660,
"Miller, Sandy Searles ES",Public,Pre-K - 5,MUTHLN@NV.CCSD.NET,4851 E Lake Mead Blvd,Las Vegas,NV,89115,36.19485,-115.067413,(702)799-8830,
"Gragson, Oran K ES",Public,Pre-K - 5,ROEHNTC@NV.CCSD.NET,555 N Honolulu,Las Vegas,NV,89110,36.172131,-115.093005,(702)799-7330,
"Galloway, Fay ES",Public,Pre-K - 5,GRIFFB3@NV.CCSD.NET,701 Skyline Rd,Henderson,NV,89002,36.007788,-114.980029,(702)799-8920,
"Mack, Nate ES",Public,Pre-K - 5,leighn@NV.CCSD.NET,3170 Laurel Ave,Henderson,NV,89014,36.059421,-115.091922,(702)799-7760,
"Gray, R Guild ES",Public,Pre-K - 5,MITCHAR@NV.CCSD.NET,2825 S Torrey Pines Dr,Las Vegas,NV,89146,36.137923,-115.235002,(702)799-5950,
"Bowler, Grant ES",Public,Pre-K - 5,ROBISKR@NV.CCSD.NET,1415 W Whipple Rd,Logandale,NV,89021,36.608468,-114.472931,(702)398-3233,
"Bass, John C ES",Public,Pre-K - 5,GILMOKP@NV.CCSD.NET,10377 Rancho Destino Rd,Las Vegas,NV,89183,36.001495,-115.16713,(702)799-2220,
"Martinez, Reynaldo L ES",Public,Pre-K - 5,ADAMSTD@NV.CCSD.NET,350 E Judson Ave,N  Las Vegas,NV,89030,36.199301,-115.13512,(702)799-3800,
"Moore, William K ES",Public,Pre-K - 5,FREEMA@NV.CCSD.NET,491 N Lamb Blvd,Las Vegas,NV,89110,36.16888,-115.082943,(702)799-3270,
"Ober, D'Vorre & Hal ES",Public,Pre-K - 5,BAKERML1@NV.CCSD.NET,3035 Desert Marigold Ln,Las Vegas,NV,89135,36.13624,-115.32122,(702)799-6077,
"Smith, Hal ES",Public,Pre-K - 5,SHEPAAR@NV.CCSD.NET,5150 E Desert Inn Rd,Las Vegas,NV,89122,36.130419,-115.062151,(702)799-3700,
"Tarr, Sheila Academy of Int'l Studies ES",Public,Pre-K - 5,JONESAA@NV.CCSD.NET,9400 W Gilmore Ave,Las Vegas,NV,89129,36.230659,-115.301274,(702)799-6710,
"Staton, Ethel W ES",Public,Pre-K - 5,CLEMEJT@NV.CCSD.NET,1700 Sageberry Dr,Las Vegas,NV,89144,36.190326,-115.335245,(702)799-6720,
"Wolff, Elise L ES",Public,Pre-K - 5,WESTWL@NV.CCSD.NET,1001 Seven Hills Dr,Henderson,NV,89052,35.990808,-115.122187,(702)799-2230,
"Petersen, Dean ES",Public,Pre-K - 5,SWEENRS@NV.CCSD.NET,3650 Cambridge St,Las Vegas,NV,89169,36.123524,-115.14048,(702)799-1120,
"Tobler, R E ES",Public,Pre-K - 5,GODINAA@NV.CCSD.NET,6510 Buckskin Ave,Las Vegas,NV,89108,36.222182,-115.2348,(702)799-4500,
Sandy Valley ES,Public,Pre-K - 5,REYNOTJ@NV.CCSD.NET,1420 E. Pearl Ave.,Sandy Valley,NV,89019,35.813217,-115.610069,(702)723-5344,
"Bennett, William G ES",Public,Pre-K - 5,MOSSJM@NV.CCSD.NET,1450 Spirit Lane,Laughlin,NV,89029,35.164689,-114.60975,(702)298-3378,
"Cox, Clyde C ES",Public,Pre-K - 5,MYERSLO@NV.CCSD.NET,3855 Timberlake Dr,Las Vegas,NV,89115,36.231539,-115.094875,(702)799-4990,
Stanford ES,Public,Pre-K - 5,MERRIRR@NV.CCSD.NET,5350 Harris Ave,Las Vegas,NV,89110,36.178564,-115.056837,(702)799-7272,
"Reed, Doris M ES",Public,Pre-K - 5,FENLOJL@NV.CCSD.NET,2501 Winwood St,Las Vegas,NV,89108,36.205381,-115.21875,(702)799-4777,
"Earl, Marion B ES",Public,Pre-K - 5,HUNTVA@NV.CCSD.NET,6650 W Reno Ave,Las Vegas,NV,89118,36.096873,-115.237779,(702)799-8181,
"Hinman, Edna F ES",Public,Pre-K - 5,COPENDM@NV.CCSD.NET,450 Merlayne Dr,Henderson,NV,89015,36.063659,-115.000916,(702)799-8990,
"McDoniel, Estes M ES",Public,Pre-K - 5,RICHADD@NV.CCSD.NET,1831 Fox Ridge Dr,Henderson,NV,89014,36.058612,-115.06701,(702)799-7788,
"Detwiler, Ollie ES",Public,Pre-K - 5,LEWISMM@NV.CCSD.NET,1960 Ferrell St,Las Vegas,NV,89106,36.195186,-115.183341,(702)799-1830,
"Von Tobel, Ed MS",Public,6-8,AMADOL@NV.CCSD.NET,2436 N Pecos Rd,Las Vegas,NV,89115,36.204758,-115.097806,(702)799-7280,
"Garside, Frank F JHS",Public,6-8,SPURKMA@NV.CCSD.NET,6371 Hyde Ave,Las Vegas,NV,89107,36.168861,-115.234168,(702)799-4245,
Hyde Park MS,Public,6-8,KUBIAGM@NV.CCSD.NET,900 Hinson St,Las Vegas,NV,89107,36.160964,-115.193628,(702)799-4260,
"Cashman, James MS",Public,6-8,MANOHRJ@NV.CCSD.NET,4622 W Desert Inn Rd,Las Vegas,NV,89102,36.131067,-115.204386,(702)799-5880,
"Smith, J D MS",Public,6-8,FIKEHE@NV.CCSD.NET,1880 E Stanley Ave,N  Las Vegas,NV,89030,36.189812,-115.121148,(702)799-7080,
"Brinley, J Harold MS",Public,6-8,YODERMA@nv.ccsd.net,2422 Maverick St,Las Vegas,NV,89108,36.204979,-115.227694,(702)799-4550,
"Bridger, Jim MS",Public,6-8,FRICKRG@NV.CCSD.NET,2505 N Bruce St,N  Las Vegas,NV,89030,36.204675,-115.1262,(702)799-7185,
"Fremont, John C Professional Dev MS",Public,6-8,ALLISAS@NV.CCSD.NET,1100 E St Louis Ave,Las Vegas,NV,89104,36.147186,-115.138468,(702)799-5558,
"Knudson, K O Academy of the Arts",Public,6-8,BASHAHK@NV.CCSD.NET,2400 Atlantic St,Las Vegas,NV,89104,36.14513,-115.114511,(702)799-7470,
"Gibson, Robert O MS Leadership Academy",Public,6-8,GISTC@NV.CCSD.NET,3900 W Washington Ave,Las Vegas,NV,89107,36.181283,-115.194547,(702)799-4700,
"Martin, Roy W MS",Public,6-8,THAGGD@NV.CCSD.NET,200 N 28th Street,Las Vegas,NV,89101,36.16385,-115.111546,(702)799-7922,
"Orr, William E MS",Public,6-8,FRIEDSH@NV.CCSD.NET,1562 E Katie Ave,Las Vegas,NV,89119,36.121725,-115.130825,(702)799-5573,
"Burkholder, Lyal Academy of Environmental Science",Public,6-8,HERMECL@NV.CCSD.NET,355 W Van Wagenen,Henderson,NV,89015,36.029443,-114.992789,(702)799-8080,
"Woodbury, C W MS",Public,6-8,banksbt@NV.CCSD.NET,3875 E Harmon Ave,Las Vegas,NV,89121,36.106787,-115.091032,(702)799-7660,
"Cannon, Helen C JHS",Public,6-8,GALVILD@NV.CCSD.NET,5850 Euclid Ave,Las Vegas,NV,89120,36.083497,-115.115596,(702)799-5600,
"Guinn, Kenny C MS",Public,6-8,ROLFEE@NV.CCSD.NET,4150 S Torrey Pines Dr,Las Vegas,NV,89103,36.113196,-115.231588,(702)799-5900,
"Garrett, Elton M JHS",Public,6-8,teemamj@nv.ccsd.net,1200 Ave G,Boulder City,NV,89005,35.970235,-114.827412,(702)799-8290,
"Brown, B Mahlon JHS",Public,6-8,KATHAJM@NV.CCSD.NET,307 Cannes St,Henderson,NV,89015,36.0517,-114.955276,(702)799-8900,
Sandy Valley J-SHS,Public,6-12,REYNOTJ@NV.CCSD.NET,1420 E. Pearl Ave.,Sandy Valley,NV,89019,35.813217,-115.610069,(702)723-1800,
Laughlin J-SHS,Public,6-12,ESTESDL@NV.CCSD.NET,1900 Cougar Dr,Laughlin,NV,89029,35.163588,-114.614335,(702)298-1996,
"O'Callaghan, Mike MS i3 Learn Academy",Public,6-8,FLIGOSA@NV.CCSD.NET,1450 Radwick Dr,Las Vegas,NV,89110,36.184318,-115.021014,(702)799-7340,
"Johnson, Walter JHS Academy of Int'l Studies",Public,6-8,JACOBTK@NV.CCSD.NET,7701 Ducharme Ave,Las Vegas,NV,89145,36.169417,-115.262328,(702)799-4480,
"Greenspun, Barbara & Hank JHS",Public,6-8,CARDUJL@NV.CCSD.NET,140 N Valle Verde,Henderson,NV,89074,36.035909,-115.065524,(702)799-0920,
"Swainston, Theron L MS",Public,6-8,SINGLT@NV.CCSD.NET,3500 W Gilmore Ave,N  Las Vegas,NV,89032,36.229456,-115.185976,(702)799-4860,
"White, Thurman Academy of the Arts MS",Public,6-8,JACKSMW@NV.CCSD.NET,1661 Galleria Dr,Henderson,NV,89014,36.074903,-115.056363,(702)799-0777,
"Becker, Ernest MS",Public,6-8,KINGPL1@NV.CCSD.NET,9151 Pinewood Hills Dr,Las Vegas,NV,89134,36.200457,-115.29443,(702)799-4460,
"Sawyer, Grant MS",Public,6-8,KIRKPBD@NV.CCSD.NET,5450 Redwood St,Las Vegas,NV,89118,36.089926,-115.237447,(702)799-5980,
"Lyon, Mack MS",Public,6-8,LEWISAD@NV.CCSD.NET,179 S Andersen,Overton,NV,89040,36.541831,-114.448003,(702)397-8610,
"West, Dr. Charles I. Preparatory Academy",Public,6-12,BARKEN@NV.CCSD.NET,2050 Sapphire Stone Ave,Las Vegas,NV,89106,36.239195,-115.23498,(702)799-3120,
Lied STEM Academy MS,Public,6-8,THORSKT@NV.CCSD.NET,5350 W Tropical Pkwy,Las Vegas,NV,89130,36.269146,-115.215044,(702)799-4620,
